epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,3923.86,1.18885,0.75959,1.13256,0.52672,0.73077,0.61928,0.22934,2.354,1.51898,2.14642,0.0004952,0.0004952,0.0004952
154,3949.39,1.20851,0.7828,1.15602,0.59488,0.61538,0.61874,0.22731,2.435,1.5234,2.23273,0.0004853,0.0004853,0.0004853
155,3974.1,1.14787,0.83233,1.14176,0.60873,0.61538,0.61469,0.23685,2.46177,1.56181,2.25367,0.0004754,0.0004754,0.0004754
156,3998.71,1.15505,0.77439,1.11646,0.575,0.5,0.5907,0.23469,2.47048,1.60107,2.23332,0.0004655,0.0004655,0.0004655
157,4023.56,1.24849,0.8254,1.17496,0.49005,0.57692,0.58334,0.20991,2.44689,1.71279,2.1612,0.0004556,0.0004556,0.0004556
158,4048.48,1.21378,0.80053,1.14478,0.58689,0.57692,0.61013,0.20905,2.32151,1.66995,2.00394,0.0004457,0.0004457,0.0004457
159,4073.7,1.17097,0.77238,1.11242,0.47866,0.57692,0.53399,0.20563,2.29515,1.68066,1.96563,0.0004358,0.0004358,0.0004358
160,4101.64,1.12924,0.79996,1.10031,0.48765,0.53846,0.51573,0.21601,2.29819,1.69184,1.96305,0.0004259,0.0004259,0.0004259
161,4128.32,1.13172,0.77167,1.12017,0.47319,0.57692,0.51862,0.21444,2.30175,1.67953,1.97436,0.000416,0.000416,0.000416
162,4154.3,1.13222,0.76849,1.09048,0.58935,0.38462,0.47116,0.20016,2.36174,1.75664,2.05038,0.0004061,0.0004061,0.0004061
163,4181.46,1.12176,0.75392,1.0864,0.60691,0.42308,0.46388,0.18528,2.42064,1.726,2.10656,0.0003962,0.0003962,0.0003962
164,4207.51,1.11512,0.7838,1.09312,0.58332,0.42308,0.44021,0.17915,2.45224,1.70404,2.15867,0.0003863,0.0003863,0.0003863
165,4233.22,1.11822,0.80398,1.1109,0.57413,0.42308,0.44045,0.18877,2.4534,1.66379,2.16493,0.0003764,0.0003764,0.0003764
166,4259.07,1.12437,0.77864,1.1375,0.57736,0.46154,0.48807,0.19958,2.43402,1.62705,2.18637,0.0003665,0.0003665,0.0003665
167,4285.14,1.05401,0.72325,1.0677,0.5768,0.46154,0.50056,0.21801,2.42863,1.64492,2.17786,0.0003566,0.0003566,0.0003566
168,4310.34,1.07766,0.71142,1.08554,0.58362,0.4856,0.50498,0.21812,2.41915,1.59445,2.19821,0.0003467,0.0003467,0.0003467
169,4335.44,1.08027,0.72933,1.03008,0.54596,0.46154,0.51113,0.21195,2.46182,1.63178,2.23268,0.0003368,0.0003368,0.0003368
170,4360.99,1.0858,0.71402,1.09834,0.64359,0.53846,0.58536,0.22034,2.47126,1.62254,2.26032,0.0003269,0.0003269,0.0003269
171,4386.63,1.00881,0.70886,1.05646,0.55976,0.5,0.52944,0.21506,2.49787,1.63492,2.29405,0.000317,0.000317,0.000317
172,4412.8,1.05253,0.73551,1.0663,0.56346,0.5,0.52462,0.20308,2.53645,1.60268,2.34182,0.0003071,0.0003071,0.0003071
173,4438.19,1.06591,0.68597,1.0844,0.56442,0.53846,0.52206,0.20506,2.51999,1.63514,2.32207,0.0002972,0.0002972,0.0002972
174,4464.19,1.06284,0.70021,1.07213,0.52289,0.5,0.50819,0.20907,2.44582,1.54182,2.23287,0.0002873,0.0002873,0.0002873
175,4490.19,1.07097,0.72387,1.07151,0.58508,0.46154,0.52666,0.21404,2.41395,1.49853,2.20226,0.0002774,0.0002774,0.0002774
176,4516.49,1.08961,0.72016,1.07141,0.57184,0.5,0.50175,0.21022,2.36532,1.47963,2.15905,0.0002675,0.0002675,0.0002675
177,4542.64,1.08849,0.73081,1.06892,0.67596,0.48191,0.52324,0.21786,2.35649,1.4488,2.14712,0.0002576,0.0002576,0.0002576
178,4568.96,1.04867,0.73658,1.10363,0.59068,0.53846,0.56165,0.23832,2.38403,1.41051,2.19872,0.0002477,0.0002477,0.0002477
179,4594.94,1.07161,0.74689,1.07501,0.62346,0.53846,0.56262,0.23152,2.41045,1.4173,2.21344,0.0002378,0.0002378,0.0002378
180,4621.15,1.02598,0.71139,1.06295,0.57921,0.5297,0.55378,0.23087,2.45004,1.43827,2.24891,0.0002279,0.0002279,0.0002279
